"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/memisalitufan/Documents/GitHub/innox/src/pages/Dashboard/common/header.tsx", "TypeScript JSX", 42, 0, 1, 43
"Total", "-", 42, 0, 1, 43
